,block,stimulus,corr_answer,repeat
0,livingPrac,alligator,living,0
1,livingPrac,snowflake,nonliv,1
2,livingPrac,bicycle,nonliv,1
3,livingPrac,mushroom,living,1
4,livingPrac,cloud,nonliv,1
5,livingPrac,goldfish,living,1
6,livingPrac,lizard,living,1
7,livingPrac,table,nonliv,1
8,livingPrac,marble,nonliv,1
9,livingPrac,shark,living,1
10,livingPrac,knob,nonliv,1
11,livingPrac,lion,living,1
12,livingReal,marble,nonliv,0
13,livingReal,oak,living,1
14,livingReal,lizard,living,1
15,livingReal,coat,nonliv,1
16,livingReal,sparrow,living,1
17,livingReal,goldfish,living,1
18,livingReal,lion,living,1
19,livingReal,alligator,living,1
20,livingReal,pebble,nonliv,1
21,livingReal,shark,living,1
22,livingReal,knob,nonliv,1
23,livingReal,table,nonliv,1
24,livingReal,shark,living,1
25,livingReal,bicycle,nonliv,1
26,livingReal,cloud,nonliv,1
27,livingReal,marble,nonliv,1
28,livingReal,cloud,nonliv,1
29,livingReal,alligator,living,1
30,livingReal,sparrow,living,1
31,livingReal,lizard,living,1
32,livingReal,snowflake,nonliv,1
33,livingReal,mushroom,living,1
34,livingReal,lion,living,1
35,livingReal,pebble,nonliv,1
36,livingReal,bicycle,nonliv,1
37,livingReal,table,nonliv,1
38,livingReal,oak,living,1
39,livingReal,mushroom,living,1
40,livingReal,knob,nonliv,1
41,livingReal,marble,nonliv,1
42,livingReal,coat,nonliv,1
43,livingReal,goldfish,living,1
44,livingReal,snowflake,nonliv,1
45,livingReal,oak,living,1
46,sizePrac,pebble,small,0
47,sizePrac,bicycle,big,1
48,sizePrac,sparrow,small,1
49,sizePrac,coat,big,1
50,sizePrac,lion,big,1
51,sizePrac,lizard,small,1
52,sizePrac,snowflake,small,1
53,sizePrac,shark,big,1
54,sizePrac,goldfish,small,1
55,sizePrac,knob,small,1
56,sizePrac,cloud,big,1
57,sizePrac,table,big,1
58,sizeReal,table,big,0
59,sizeReal,knob,small,1
60,sizeReal,pebble,small,1
61,sizeReal,oak,big,1
62,sizeReal,bicycle,big,1
63,sizeReal,coat,big,1
64,sizeReal,shark,big,1
65,sizeReal,lizard,small,1
66,sizeReal,alligator,big,1
67,sizeReal,lion,big,1
68,sizeReal,snowflake,small,1
69,sizeReal,bicycle,big,1
70,sizeReal,shark,big,1
71,sizeReal,lizard,small,1
72,sizeReal,table,big,1
73,sizeReal,mushroom,small,1
74,sizeReal,marble,small,1
75,sizeReal,cloud,big,1
76,sizeReal,oak,big,1
77,sizeReal,knob,small,1
78,sizeReal,pebble,small,1
79,sizeReal,sparrow,small,1
80,sizeReal,goldfish,small,1
81,sizeReal,cloud,big,1
82,sizeReal,mushroom,small,1
83,sizeReal,snowflake,small,1
84,sizeReal,goldfish,small,1
85,sizeReal,knob,small,1
86,sizeReal,table,big,1
87,sizeReal,alligator,big,1
88,sizeReal,sparrow,small,1
89,sizeReal,marble,small,1
90,sizeReal,lion,big,1
91,sizeReal,coat,big,1
92,mixedPrac,marble,nonliv,0
93,mixedPrac,table,nonliv,1
94,mixedPrac,alligator,big,0
95,mixedPrac,sparrow,small,1
96,mixedPrac,snowflake,small,1
97,mixedPrac,goldfish,small,1
98,mixedPrac,mushroom,living,0
99,mixedPrac,cloud,nonliv,1
100,mixedPrac,knob,small,0
101,mixedPrac,oak,living,0
102,mixedPrac,marble,small,0
103,mixedPrac,bicycle,nonliv,0
104,mixedPrac,lizard,living,1
105,mixedPrac,knob,nonliv,1
106,mixedPrac,lizard,small,0
107,mixedPrac,bicycle,big,1
108,mixedPrac,pebble,nonliv,0
109,mixedPrac,shark,big,0
110,mixedPrac,sparrow,living,0
111,mixedPrac,lion,living,1
112,mixedPrac,goldfish,living,1
113,mixedPrac,lion,big,0
114,mixedPrac,table,big,1
115,mixedPrac,coat,big,1
116,mixedReal1,table,big,0
117,mixedReal1,pebble,small,1
118,mixedReal1,shark,living,0
119,mixedReal1,coat,nonliv,1
120,mixedReal1,alligator,living,1
121,mixedReal1,pebble,small,0
122,mixedReal1,lion,living,0
123,mixedReal1,snowflake,nonliv,1
124,mixedReal1,lizard,living,1
125,mixedReal1,marble,small,0
126,mixedReal1,bicycle,big,1
127,mixedReal1,shark,big,1
128,mixedReal1,alligator,living,0
129,mixedReal1,lizard,small,0
130,mixedReal1,lion,big,1
131,mixedReal1,goldfish,small,1
132,mixedReal1,alligator,big,1
133,mixedReal1,pebble,nonliv,0
134,mixedReal1,shark,big,0
135,mixedReal1,snowflake,nonliv,0
136,mixedReal1,mushroom,living,1
137,mixedReal1,snowflake,small,0
138,mixedReal1,knob,small,1
139,mixedReal1,goldfish,living,0
140,mixedReal1,cloud,big,0
141,mixedReal1,mushroom,small,1
142,mixedReal1,bicycle,nonliv,0
143,mixedReal1,shark,living,1
144,mixedReal1,knob,small,0
145,mixedReal1,marble,small,1
146,mixedReal1,oak,big,1
147,mixedReal1,snowflake,small,1
148,mixedReal1,coat,big,1
149,mixedReal1,knob,nonliv,0
150,mixedReal1,sparrow,living,1
151,mixedReal1,lion,living,1
152,mixedReal1,coat,big,0
153,mixedReal1,mushroom,living,0
154,mixedReal1,table,nonliv,1
155,mixedReal1,oak,living,1
156,mixedReal1,marble,nonliv,1
157,mixedReal1,knob,nonliv,1
158,mixedReal1,oak,big,0
159,mixedReal1,lizard,living,0
160,mixedReal1,mushroom,small,0
161,mixedReal1,oak,living,0
162,mixedReal1,goldfish,living,1
163,mixedReal1,bicycle,nonliv,1
164,mixedReal1,sparrow,small,0
165,mixedReal1,cloud,nonliv,0
166,mixedReal1,pebble,nonliv,1
167,mixedReal1,goldfish,small,0
168,mixedReal1,table,big,1
169,mixedReal1,coat,nonliv,0
170,mixedReal1,bicycle,big,0
171,mixedReal1,cloud,big,1
172,mixedReal2,shark,living,0
173,mixedReal2,table,nonliv,1
174,mixedReal2,goldfish,small,0
175,mixedReal2,coat,big,1
176,mixedReal2,lizard,small,1
177,mixedReal2,knob,nonliv,0
178,mixedReal2,coat,nonliv,1
179,mixedReal2,snowflake,small,0
180,mixedReal2,marble,nonliv,0
181,mixedReal2,mushroom,small,0
182,mixedReal2,table,big,1
183,mixedReal2,cloud,big,1
184,mixedReal2,alligator,big,1
185,mixedReal2,lizard,living,0
186,mixedReal2,cloud,nonliv,1
187,mixedReal2,sparrow,small,0
188,mixedReal2,mushroom,living,0
189,mixedReal2,alligator,living,1
190,mixedReal2,table,big,0
191,mixedReal2,goldfish,living,0
192,mixedReal2,cloud,big,0
193,mixedReal2,lion,big,1
194,mixedReal2,snowflake,nonliv,0
195,mixedReal2,shark,living,1
196,mixedReal2,sparrow,living,1
197,mixedReal2,marble,small,0
198,mixedReal2,pebble,nonliv,0
199,mixedReal2,knob,nonliv,1
200,mixedReal2,alligator,big,0
201,mixedReal2,shark,big,1
202,mixedReal2,pebble,small,1
203,mixedReal2,snowflake,small,1
204,mixedReal2,bicycle,big,1
205,mixedReal2,lion,living,0
206,mixedReal2,oak,living,1
207,mixedReal2,goldfish,living,1
208,mixedReal2,shark,big,0
209,mixedReal2,sparrow,small,1
210,mixedReal2,oak,living,0
211,mixedReal2,mushroom,living,1
212,mixedReal2,lizard,living,1
213,mixedReal2,bicycle,big,0
214,mixedReal2,marble,small,1
215,mixedReal2,alligator,living,0
216,mixedReal2,snowflake,nonliv,1
217,mixedReal2,lion,living,1
218,mixedReal2,pebble,small,0
219,mixedReal2,oak,big,1
220,mixedReal2,coat,nonliv,0
221,mixedReal2,bicycle,nonliv,1
222,mixedReal2,knob,small,0
223,mixedReal2,sparrow,living,0
224,mixedReal2,lion,big,0
225,mixedReal2,mushroom,small,1
226,mixedReal2,knob,small,1
227,mixedReal2,bicycle,nonliv,0
